LINE NAME,LINE CODE,DIRECTION,DAY,BOARDINGS,DEBOARDINGS
U,136,Eastbound,Weekday,120.21050350244616,122.4320861902449
U,136,Westbound,Weekday,79.56383067226524,79.25300234317842
V,130,Eastbound,Weekday,81.95501671007094,84.8476706996307
V,130,Westbound,Weekday,64.68272620446538,64.68272620446537
W,119,Eastbound,Weekday,71.23426031537745,75.99657406012314
W,119,Westbound,Weekday,48.789743589743594,48.78974358974355
1,1,Northbound,Saturday,6001.491874791876,6048.136152736154
1,1,Southbound,Saturday,5921.508181769212,5984.493980039439
6,6,Northbound,Saturday,1889.8593795093793,1865.645418470419
6,6,Southbound,Saturday,2184.8112304362303,2209.617690642691
7,7,Northbound,Saturday,1181.6658730158733,1180.5103174603173
7,7,Southbound,Saturday,1134.7261904761908,1133.264285714285
10,10,Northbound,Saturday,707.7327349121463,711.728787878788
10,10,Southbound,Saturday,735.7158147408154,734.8593545343542
12,12,Northbound,Saturday,911.9317099567104,923.0719336219333
12,12,Southbound,Saturday,934.027200577202,923.1072150072148
14,14,Eastbound,Saturday,737.5418581418581,739.3580086579927
14,14,Westbound,Saturday,739.4902680652685,749.7258047508046
18,18,Northbound,Saturday,1459.7089937839935,1460.1408480408584
18,18,Southbound,Saturday,1428.4739419705195,1469.3363226642632
19,19,Eastbound,Saturday,91.7260101010101,92.11111111111106
19,19,Westbound,Saturday,93.20870240870241,93.74430014430013
20,20,Eastbound,Saturday,857.3692585192584,858.7809523809531
20,20,Westbound,Saturday,824.290909090909,824.469191919192
21,21,Eastbound,Saturday,424.90314685314706,421.79324009324
21,21,Westbound,Saturday,529.2571095571107,531.5531857031852
28,28,Northbound,Saturday,206.6773115773116,208.2314685314686
28,28,Southbound,Saturday,226.64358974358976,226.95536130536127
29,29,Eastbound,Saturday,351.66071428571445,347.72619047619054
29,29,Westbound,Saturday,365.7607142857143,377.2583333333332
33,33,Eastbound,Saturday,652.6237373737376,651.8820707070709
33,33,Westbound,Saturday,593.1073317610214,646.3199494949494
34,34,Northbound,Saturday,236.93313570487487,267.1060606060606
34,34,Southbound,Saturday,263.560606060606,263.8257575757575
35,35,Northbound,Saturday,248.59460539460537,251.5604728604728
35,35,Southbound,Saturday,265.2883838383863,265.16414973914965
36,36,Northbound,Saturday,1156.4317099566097,1141.5024531024533
36,36,Southbound,Saturday,852.9941752691653,857.4743145743143
41,41,Northbound,Saturday,190.46783216783206,190.0439393939394
41,41,Southbound,Saturday,194.0162714097497,196.15971057927584
45,45,Eastbound,Saturday,273.4531385280374,273.1060606060605
45,45,Westbound,Saturday,292.4219696969695,292.6462121212122
54,54,Eastbound,Saturday,317.1518648018649,319.7318181818181
54,54,Westbound,Saturday,280.28989898989875,280.36767676767636
56,56,Northbound,Saturday,166.00672105672115,166.79207459207464
56,56,Southbound,Saturday,112.540439270874,140.66363636363644
57,57,Eastbound,Saturday,2218.0071640776378,2247.232034631942
57,57,Westbound,Saturday,2267.960320235307,2262.582498057498
60,60,Eastbound,Saturday,358.53636363636366,356.37121212121207
60,60,Westbound,Saturday,311.01515151515156,311.7166666666668
62,62,Eastbound,Saturday,502.14782847872095,506.7220279720282
62,62,Westbound,Saturday,529.2102564102461,529.6984848484849
70,70,Northbound,Saturday,173.46634199134203,175.39285714285717
70,70,Southbound,Saturday,163.2900793650635,164.75238095238086
71,71,Northbound,Saturday,186.38333333333338,191.4345598845598
71,71,Southbound,Saturday,198.65039682539688,199.02698412698413
72,72,Northbound,Saturday,1327.7980519480475,1327.8886835386802
72,72,Southbound,Saturday,1239.3222370222431,1239.5521164021166
73,73,Eastbound,Saturday,646.7456709956662,647.1835497835493
73,73,Westbound,Saturday,655.8174963923958,657.2371933621932
74,74,Northbound,Saturday,222.32813575313577,214.58676046176046
74,74,Southbound,Saturday,205.84119769121222,208.86017316017305
76,76,Eastbound,Saturday,536.8567099566912,508.28531746031797
76,76,Westbound,Saturday,530.3570346320054,530.7273088023246
79,79,Northbound,Saturday,683.8745421245421,683.0458152958148
79,79,Southbound,Saturday,863.0156565656565,864.1243978243978
86,86,Northbound,Saturday,307.74191919191946,308.10934343434377
86,86,Southbound,Saturday,322.8070707070708,327.7666666666866
88,88,Northbound,Saturday,640.5349927849925,651.4443362193358
88,88,Southbound,Saturday,568.5324675324679,559.6296897546897
90,90,Eastbound,Saturday,196.70638805638805,198.88917748917743
90,90,Westbound,Saturday,189.51594516596109,190.14173881673892
93,93,Northbound,Saturday,179.21096016556544,193.55151515151505
93,93,Southbound,Saturday,218.70454545454544,217.77575757575755
95,95,Northbound,Saturday,69.96060606060603,67.34343434343428
95,95,Southbound,Saturday,64.55353535353531,64.31111111111116
96,96,Eastbound,Saturday,497.45212842712846,494.14898989899996
96,96,Westbound,Saturday,507.98409090908086,520.205844155844
97,97,Northbound,Saturday,745.4320845820844,747.4737373737371
97,97,Southbound,Saturday,747.006313131304,746.2300505050501
98,98,Eastbound,Saturday,234.88985181485188,237.94840992340272
98,98,Westbound,Saturday,246.60804473304466,248.13672438672432
99,99,Northbound,Saturday,633.3261849261852,630.9308080808082
99,99,Southbound,Saturday,659.7399378400289,664.1380591630589
200,200,Northbound,Saturday,489.06054778554727,486.906682206682
200,200,Southbound,Saturday,481.8910922410927,482.6213425463432
210,210,Northbound,Saturday,305.0378787878787,318.6303030303031
210,210,Southbound,Saturday,311.86775446776454,300.0605339105339
212,212,Northbound,Saturday,137.00265151515157,186.11313131313182
212,212,Southbound,Saturday,343.51540404040367,334.71010101010097
216,216,Southbound,Saturday,111.57753080253076,115.69101454101454
217,217,Northbound,Saturday,295.1710400710399,294.8283549783421
217,217,Southbound,Saturday,271.9305916305911,270.5414502164502
232,232,Northbound,Saturday,94.38838383838394,94.72121212121209
232,232,Southbound,Saturday,154.5512329174095,153.86336898395723
251,251,Southbound,Saturday,51.846969696969694,51.051515151515204
376,376,Northbound,Saturday,80.2430375180376,81.68106060606061
376,376,Southbound,Saturday,42.64710260499735,51.297979797979785
800,800,Eastbound,Saturday,328.381746031746,320.9285714285715
800,800,Westbound,Saturday,204.6671524510921,243.31383550230294
801,801,Northbound,Saturday,130.10714285714297,129.19126984126987
801,801,Southbound,Saturday,139.1908008658009,138.25674603174605
802,802,Northbound,Saturday,29.64389499389499,33.34946581196579
802,802,Southbound,Saturday,16.620039682539666,16.486111111111107
805,805,Eastbound,Saturday,59.00016155585041,69.46988058381248
840,840,Northbound,Saturday,18.975,18.625
840,840,Southbound,Saturday,26.303571428571388,26.178571428571466
851,851,Northbound,Saturday,46.54444444444445,44.85555555555555
851,851,Southbound,Saturday,50.85555555555555,53.98888888888884
40L,40,Northbound,Saturday,1545.5507964257963,1546.3429292929293
40L,40,Southbound,Saturday,1655.7803030303032,1657.879797979798
51A,511,Northbound,Saturday,1888.1042929292928,1885.6450216450924
51A,511,Southbound,Saturday,1823.4265873015868,1823.3164141413827
51B,512,Northbound,Saturday,4148.205519480231,4177.4851370851375
51B,512,Southbound,Saturday,4145.008415359151,4188.224512987013
52L,52,Northbound,Saturday,624.2148573648858,644.3692640692557
52L,52,Southbound,Saturday,988.7149563199104,1054.2181710360505
72M,721,Northbound,Saturday,1051.96174381183,1050.753593628594
72M,721,Southbound,Saturday,1167.0179653679656,1166.5976551226497
72R,372,Northbound,Saturday,1340.046176046176,1346.5369047619051
72R,372,Southbound,Saturday,1354.1740259740259,1361.387085137085
F,106,Eastbound,Saturday,752.423496708829,747.7306947395546
F,106,Westbound,Saturday,1323.2172188922189,1228.237570762571
NL,124,Eastbound,Saturday,562.8383838383841,559.8888888888891
NL,124,Westbound,Saturday,559.0517482517482,560.1587412587417
O,1250,Eastbound,Saturday,361.5780108780112,362.797591297581
O,1250,Westbound,Saturday,345.7308857808856,333.7629370629368
1,1,Northbound,Sunday,5667.057409257409,5651.726887001888
1,1,Southbound,Sunday,5576.929193682134,5633.784704184749
6,6,Northbound,Sunday,1569.7746142746175,1565.5719974469969
6,6,Southbound,Sunday,1669.328643578643,1682.5194805194226
7,7,Northbound,Sunday,1252.941666666667,1219.1234126984289
7,7,Southbound,Sunday,1213.302777777778,1186.8313492063323
10,10,Northbound,Sunday,607.5064226708893,612.2561605061609
10,10,Southbound,Sunday,650.0857725607724,653.8569971694969
12,12,Northbound,Sunday,661.3627317127319,666.033866133892
12,12,Southbound,Sunday,653.7272838272788,664.9897768897767
14,14,Eastbound,Sunday,624.7341103341237,625.2516372516243
14,14,Westbound,Sunday,636.7115495615496,636.9731768231769
18,18,Northbound,Sunday,1464.9468364968359,1463.139244089245
18,18,Southbound,Sunday,1246.2954039207732,1290.6395423105591
19,19,Eastbound,Sunday,83.72955655455654,83.58219280719288
19,19,Westbound,Sunday,89.47291736041741,90.69387556887554
20,20,Eastbound,Sunday,705.5841935841936,707.4344960594962
20,20,Westbound,Sunday,693.4106116106122,698.4890398490396
21,21,Eastbound,Sunday,369.85889110889093,368.06768231768234
21,21,Westbound,Sunday,426.4407259407258,430.3581751581824
28,28,Northbound,Sunday,175.86894282188396,176.43869463869464
28,28,Southbound,Sunday,197.21207126207128,197.24970029969523
29,29,Eastbound,Sunday,270.5,271.05
29,29,Westbound,Sunday,312.515476190476,316.9095238095239
33,33,Eastbound,Sunday,506.7499777999778,506.889743589744
33,33,Westbound,Sunday,460.6585878653103,502.1630203130204
34,34,Northbound,Sunday,190.84243449811393,214.36988256841215
34,34,Southbound,Sunday,197.0604395604395,196.32142857142856
35,35,Northbound,Sunday,206.795154845155,207.4298035298035
35,35,Southbound,Sunday,226.2857475857476,222.50313020313018
36,36,Northbound,Sunday,843.7383975927352,796.7111919481073
36,36,Southbound,Sunday,683.243656343694,729.6489066489153
41,41,Northbound,Sunday,159.40301365301355,159.4991674991718
41,41,Southbound,Sunday,175.1950216450216,175.83283716283154
45,45,Eastbound,Sunday,223.1163780663781,223.69272394272406
45,45,Westbound,Sunday,233.81732711732718,234.14566822066982
54,54,Eastbound,Sunday,261.25376290376244,262.7065101565099
54,54,Westbound,Sunday,228.71456876456895,228.0362470862473
56,56,Northbound,Sunday,147.03388278388277,146.74267399267399
56,56,Southbound,Sunday,103.31752969255416,134.15109890109886
57,57,Eastbound,Sunday,1703.9359418359488,1678.1556970806819
57,57,Westbound,Sunday,1778.0866688866545,1779.7289543788352
60,60,Eastbound,Sunday,298.63120213120214,296.7757242757243
60,60,Westbound,Sunday,270.23126873127575,270.41708291708284
62,62,Eastbound,Sunday,452.8813575313627,456.69518814518807
62,62,Westbound,Sunday,460.49513819512794,462.2134310134214
70,70,Northbound,Sunday,141.70472305472296,144.99402819402593
70,70,Southbound,Sunday,132.7789377289376,133.6590076590077
71,71,Northbound,Sunday,166.14002908855855,171.0642510267491
71,71,Southbound,Sunday,169.40756465756462,168.7500888000887
72,72,Northbound,Sunday,1129.0707015207572,1129.3886946386947
72,72,Southbound,Sunday,998.5860417360423,1002.2895937396161
73,73,Eastbound,Sunday,559.1514374514255,554.2180264180259
73,73,Westbound,Sunday,585.9907370407484,589.4829947829952
74,74,Northbound,Sunday,187.55884948384937,180.9691919191918
74,74,Southbound,Sunday,168.5747474747476,172.67918470418465
76,76,Eastbound,Sunday,501.8775557775565,468.669852369855
76,76,Westbound,Sunday,485.4135531135537,484.63482628484394
79,79,Northbound,Sunday,608.8414141414266,611.6550616050598
79,79,Southbound,Sunday,830.9290820290904,832.2921911421914
86,86,Northbound,Sunday,255.6345543345542,255.6184371184369
86,86,Southbound,Sunday,258.87573439632325,259.20919820908824
88,88,Northbound,Sunday,666.6024697524698,668.5854700854702
88,88,Southbound,Sunday,570.5276612276639,562.441219891219
90,90,Eastbound,Sunday,168.2294680809413,174.7700084229495
90,90,Westbound,Sunday,160.90990675991512,158.85536130536167
93,93,Northbound,Sunday,152.50948248986086,165.13956043956046
93,93,Southbound,Sunday,180.71428571428578,180.00000000000003
95,95,Northbound,Sunday,67.43181818181813,65.62121212121211
95,95,Southbound,Sunday,60.96212121212127,62.49242424242425
96,96,Eastbound,Sunday,428.5853590853589,430.51612831612715
96,96,Westbound,Sunday,468.57578532578515,475.44936729937945
97,97,Northbound,Sunday,642.6746753246755,642.9595571095567
97,97,Southbound,Sunday,647.718148518149,649.0544289044285
98,98,Eastbound,Sunday,204.90756465757502,208.89291264289903
98,98,Westbound,Sunday,215.51862026863358,216.8619880119881
99,99,Northbound,Sunday,559.2686452436457,548.488175713189
99,99,Southbound,Sunday,584.4029220779217,589.6207292703641
200,200,Northbound,Sunday,442.2100635475637,444.15912698412706
200,200,Southbound,Sunday,440.7173798423804,443.10250305252123
210,210,Northbound,Sunday,270.19230769230774,284.3589743589743
210,210,Southbound,Sunday,400.46886036668656,426.1970557220557
212,212,Southbound,Sunday,310.9406482406485,318.35557220557456
216,216,Southbound,Sunday,107.52282717282718,110.56417748917752
217,217,Northbound,Sunday,257.4917582417583,257.5879120879122
217,217,Southbound,Sunday,261.14540459540456,260.4881895881892
232,232,Northbound,Sunday,99.73388278388272,98.54297924297938
232,232,Southbound,Sunday,149.95527250526527,150.57490842490847
251,251,Southbound,Sunday,42.56391941391941,42.76153846153847
376,376,Northbound,Sunday,79.62829115329116,78.41000388500387
376,376,Southbound,Sunday,34.762028958313785,43.1585137085137
800,800,Eastbound,Sunday,181.31576479076466,181.82059884559885
800,800,Westbound,Sunday,138.19217808335458,155.4036244800951
801,801,Northbound,Sunday,130.5729076479148,128.30728715728708
801,801,Southbound,Sunday,155.0180375180374,154.81703851703855
802,802,Northbound,Sunday,26.811489508083937,28.057641038871672
802,802,Southbound,Sunday,18.775213675213664,18.722222222222214
805,805,Eastbound,Sunday,72.72867680770493,89.5381473598866
840,840,Northbound,Sunday,30.391025641025617,29.916666666666657
840,840,Southbound,Sunday,26.47239427239424,26.24801864801861
851,851,Northbound,Sunday,59.09166666666667,55.6083333333333
851,851,Southbound,Sunday,24.35,23.874206349206347
40L,40,Northbound,Sunday,1322.0203255078259,1325.8913808413813
40L,40,Southbound,Sunday,1394.8023532023535,1395.1271450771626
51A,511,Northbound,Sunday,1500.1055250305005,1501.6784687534675
51A,511,Southbound,Sunday,1430.1313325563328,1434.8734501609113
51B,512,Northbound,Sunday,3242.7249639249562,3218.5111832611847
51B,512,Southbound,Sunday,3500.7782861144674,3531.788636436475
52L,52,Northbound,Sunday,478.9775835275717,530.2846348096349
52L,52,Southbound,Sunday,892.6037971245638,847.1725973429063
72M,721,Northbound,Sunday,915.5291874791877,917.5189782439903
72M,721,Southbound,Sunday,1009.5201853701853,1009.789857364858
72R,372,Northbound,Sunday,1184.4498806748804,1185.6502414252416
72R,372,Southbound,Sunday,1216.8958041958033,1215.7583860583854
F,106,Eastbound,Sunday,588.8111670902274,617.2387447661747
F,106,Westbound,Sunday,1019.8474747474746,1017.3484848484852
NL,124,Eastbound,Sunday,486.83434898434945,483.80379620379654
NL,124,Westbound,Sunday,480.24719169719145,479.41827616827595
O,1250,Eastbound,Sunday,307.9513569763603,309.3496475746476
O,1250,Westbound,Sunday,298.6693639693641,296.93870018869995
